"SA51 Disposable Personal Income Summary: Disposable Personal Income, Population, and Per Capita Disposable Personal Income"
"Per capita disposable personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"00000","United States",1318,1295,1410,1531,1591,1664,1672,1756,1846,1915,1943,2024,2068,2128,2223,2300,2464,2621,2797,2959,3183,3415,3693,3978,4264,4728,5118,5629,6064,6596,7307,8018,8838,9759,10420,11146,12261,12967,13640,14249,15362,16358,17215,17663,18675,19206,19907,20761,21624,22536,23771,24646,26224,27195,28151,29230,30731,31803,33600,34869,36128,35624,36275,37796,39459,39158,40471,41624
"01000","Alabama",833,794,871,996,1054,1105,1090,1215,1290,1349,1383,1434,1457,1492,1552,1633,1762,1881,1989,2103,2287,2511,2774,3024,3293,3661,4001,4443,4871,5294,5891,6450,7038,7759,8265,8834,9716,10348,10903,11412,12348,13356,14133,14802,15775,16247,16956,17746,18303,19050,20212,20867,21916,22766,23608,24670,26376,27385,28506,29543,30530,30411,31310,32068,32950,32846,34026,35213
"02000","Alaska","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",3166,3026,3024,3135,3486,3598,3836,4068,4265,4590,5183,5522,5765,6607,7554,9470,10473,10797,11185,11627,13388,14419,16661,16874,17263,18092,18100,17355,18128,19418,20200,20648,21465,22232,22749,23347,23749,24803,25576,26260,28042,29211,30802,32304,33717,35299,36966,39288,42670,42662,44022,46277,48086,46674,49170,50742
"04000","Arizona",1242,1251,1294,1526,1590,1611,1607,1663,1747,1788,1794,1859,1923,1978,2027,2063,2200,2294,2441,2592,2888,3208,3550,3886,4162,4590,4914,5256,5658,6107,6887,7684,8560,9443,9764,10536,11580,12316,13019,13530,14254,14886,15321,15682,16249,16824,17637,18366,19036,19956,21180,21882,23213,23943,24830,25795,27364,29006,31062,32043,32528,31488,31470,32421,33495,33132,34142,35033
"05000","Arkansas",838,783,810,915,981,1015,1028,1131,1176,1194,1247,1335,1320,1424,1468,1537,1671,1757,1926,2040,2181,2399,2628,2898,3183,3679,3997,4366,4731,5185,5918,6356,6765,7649,7995,8561,9541,10108,10629,10951,11771,12574,13150,13777,14850,15331,15961,16650,17411,17954,18823,19447,20240,21234,21899,23252,24569,25336,26697,28057,29189,29013,29328,30876,33074,33042,34136,35187
"06000","California",1622,1638,1769,1923,2018,2072,2071,2197,2312,2383,2408,2523,2590,2647,2751,2843,3047,3178,3384,3565,3818,4105,4431,4702,5013,5471,5989,6589,7101,7679,8504,9403,10415,11488,12104,12851,14015,14727,15452,16082,17206,17884,18720,19220,20101,20388,20867,21681,22566,23430,24995,25903,27639,28852,30088,31325,32997,34076,36200,37236,37991,37210,37630,39313,41704,41535,42993,44933
"08000","Colorado",1351,1345,1440,1681,1736,1674,1666,1757,1827,1981,2014,2111,2156,2228,2284,2348,2489,2633,2784,2923,3112,3373,3758,4114,4402,4863,5326,5845,6282,6792,7611,8430,9458,10571,11259,12122,13126,13667,14133,14512,15392,16470,17228,17858,18829,19685,20528,21713,22679,23593,25498,26833,29101,30378,30907,31660,32825,34230,35708,36777,38249,37483,37568,39262,41153,41040,42791,43835
"09000","Connecticut",1553,1536,1727,1923,2015,2114,2104,2223,2399,2524,2356,2435,2495,2609,2719,2771,2957,3092,3317,3567,3685,4145,4486,4763,5049,5528,6016,6541,6963,7668,8435,9390,10581,11766,12645,13768,15428,16304,17337,18640,20669,22384,23031,23133,24663,25348,25946,27085,27816,29178,30786,31965,34117,35322,36681,37843,40344,41682,44752,46909,48173,48252,49559,51002,53602,51955,54190,55568
"10000","Delaware",1396,1523,1726,1798,1860,1951,1948,2096,2355,2260,2319,2363,2441,2471,2547,2671,2812,3024,3138,3299,3513,3761,3960,4263,4599,5028,5427,5883,6273,6735,7352,7991,9025,9839,10696,11483,12607,13606,14231,15225,16455,18000,18557,19435,20010,20424,20777,21655,22638,23032,24612,25563,27516,29188,30715,31504,33120,33841,35780,36243,37319,37644,37712,38808,40069,39871,41251,42229
"11000","District of Columbia",1944,2094,2221,2278,2348,2306,2341,2327,2529,2605,2660,2684,2688,2819,2980,3154,3393,3679,3826,4116,4383,4238,4772,5415,5902,6274,6941,7679,8166,9037,9710,10332,11244,11910,12787,13488,14704,15524,16240,16992,19059,20513,22108,23532,25152,26436,27118,27712,29002,30464,32193,33124,36185,37933,40037,41735,44241,46205,49547,51691,56978,55238,56060,58454,59529,58747,59599,60476
"12000","Florida",1141,1160,1253,1308,1387,1479,1482,1584,1686,1727,1788,1890,1901,1923,1992,2076,2230,2365,2530,2713,2994,3350,3721,4018,4333,4805,5172,5610,5961,6509,7275,7996,9008,10032,10481,11627,12706,13436,14089,14804,15895,17266,17907,18269,18970,19729,20277,21297,21951,22538,23765,24494,25889,26893,27900,29117,30870,32402,34639,35653,36049,34586,35619,36888,37447,37128,38286,39241
"13000","Georgia",935,926,1030,1155,1214,1269,1255,1369,1437,1456,1505,1572,1595,1643,1725,1836,1962,2124,2303,2495,2676,2881,3144,3430,3720,4144,4462,4853,5268,5693,6328,6861,7539,8366,8986,9712,10853,11567,12390,12998,14003,14811,15592,16108,17085,17658,18529,19481,20428,21098,22523,23435,24747,25645,26516,27329,28348,29404,30483,31460,31949,31340,31280,32926,33560,33539,34688,35880
