"SQ1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Personal income (thousands of dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1948Q1","1948Q2","1948Q3","1948Q4","1949Q1","1949Q2","1949Q3","1949Q4","1950Q1","1950Q2","1950Q3","1950Q4","1951Q1","1951Q2","1951Q3","1951Q4","1952Q1","1952Q2","1952Q3","1952Q4","1953Q1","1953Q2","1953Q3","1953Q4","1954Q1","1954Q2","1954Q3","1954Q4","1955Q1","1955Q2","1955Q3","1955Q4","1956Q1","1956Q2","1956Q3","1956Q4","1957Q1","1957Q2","1957Q3","1957Q4","1958Q1","1958Q2","1958Q3","1958Q4","1959Q1","1959Q2","1959Q3","1959Q4","1960Q1","1960Q2","1960Q3","1960Q4","1961Q1","1961Q2","1961Q3","1961Q4","1962Q1","1962Q2","1962Q3","1962Q4","1963Q1","1963Q2","1963Q3","1963Q4","1964Q1","1964Q2","1964Q3","1964Q4","1965Q1","1965Q2","1965Q3","1965Q4","1966Q1","1966Q2","1966Q3","1966Q4","1967Q1","1967Q2","1967Q3","1967Q4","1968Q1","1968Q2","1968Q3","1968Q4","1969Q1","1969Q2","1969Q3","1969Q4","1970Q1","1970Q2","1970Q3","1970Q4","1971Q1","1971Q2","1971Q3","1971Q4","1972Q1","1972Q2","1972Q3","1972Q4","1973Q1","1973Q2","1973Q3","1973Q4","1974Q1","1974Q2","1974Q3","1974Q4","1975Q1","1975Q2","1975Q3","1975Q4","1976Q1","1976Q2","1976Q3","1976Q4","1977Q1","1977Q2","1977Q3","1977Q4","1978Q1","1978Q2","1978Q3","1978Q4","1979Q1","1979Q2","1979Q3","1979Q4","1980Q1","1980Q2","1980Q3","1980Q4","1981Q1","1981Q2","1981Q3","1981Q4","1982Q1","1982Q2","1982Q3","1982Q4","1983Q1","1983Q2","1983Q3","1983Q4","1984Q1","1984Q2","1984Q3","1984Q4","1985Q1","1985Q2","1985Q3","1985Q4","1986Q1","1986Q2","1986Q3","1986Q4","1987Q1","1987Q2","1987Q3","1987Q4","1988Q1","1988Q2","1988Q3","1988Q4","1989Q1","1989Q2","1989Q3","1989Q4","1990Q1","1990Q2","1990Q3","1990Q4","1991Q1","1991Q2","1991Q3","1991Q4","1992Q1","1992Q2","1992Q3","1992Q4","1993Q1","1993Q2","1993Q3","1993Q4","1994Q1","1994Q2","1994Q3","1994Q4","1995Q1","1995Q2","1995Q3","1995Q4","1996Q1","1996Q2","1996Q3","1996Q4","1997Q1","1997Q2","1997Q3","1997Q4","1998Q1","1998Q2","1998Q3","1998Q4","1999Q1","1999Q2","1999Q3","1999Q4","2000Q1","2000Q2","2000Q3","2000Q4","2001Q1","2001Q2","2001Q3","2001Q4","2002Q1","2002Q2","2002Q3","2002Q4","2003Q1","2003Q2","2003Q3","2003Q4","2004Q1","2004Q2","2004Q3","2004Q4","2005Q1","2005Q2","2005Q3","2005Q4","2006Q1","2006Q2","2006Q3","2006Q4","2007Q1","2007Q2","2007Q3","2007Q4","2008Q1","2008Q2","2008Q3","2008Q4","2009Q1","2009Q2","2009Q3","2009Q4","2010Q1","2010Q2","2010Q3","2010Q4","2011Q1","2011Q2","2011Q3","2011Q4","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4"
"00000","United States",204697696,210129296,215592532,216224476,210173924,209126584,208511592,208915900,225799157,227009533,235286949,243939469,252867377,261494265,265673533,270203661,272292444,276378528,283417772,290069256,294544044,298466688,298447092,298501424,298622019,298238371,300200907,305681211,312319786,319561158,326243782,332169090,337765820,343519700,348753488,356386312,360675331,365492515,370044183,369944035,370746469,372775145,378632157,384607353,391699977,400082125,402528973,408384897,412891568,417892868,420061220,421534344,426286064,432478584,439522916,447924436,454777400,462194184,467054544,472965872,478321000,483173344,490492196,499401460,509086372,518511088,527504420,536082120,547357052,557007056,570951808,583208084,596197504,606038892,618019544,631524060,642079912,649088212,662959016,673276860,693283980,713046052,730067796,746418172,763024048,782359104,801454520,817762328,829145652,849403908,865791160,875971280,894375464,918192128,932265356,951023052,977147180,996046252,1022225288,1066685280,1085359520,1115642308,1143338980,1180511192,1197384984,1223760436,1260503300,1288083280,1308579200,1340976968,1377924132,1412511700,1445960776,1470766992,1507708104,1541588128,1572465404,1621072132,1668073544,1726260920,1767244736,1826167212,1879561300,1934494752,1990571064,2030746092,2095837340,2158069504,2220906068,2246490636,2326912972,2433710324,2492087688,2539614092,2635616668,2670041552,2702681748,2746329480,2788043204,2833573568,2871340008,2920200296,2977055880,3063007816,3155585640,3238271844,3313053400,3367229116,3432108952,3472266824,3519401012,3583931212,3645479828,3687104164,3737156208,3779231800,3836639040,3896620644,3967471776,4062704540,4138325504,4212306216,4303594008,4388786272,4517138000,4571574688,4626729444,4700433868,4797591692,4873371840,4934695368,4956153100,4964646544,5024488180,5075998308,5157930968,5277171572,5378077152,5440134692,5513052584,5547287132,5618236440,5657521364,5736075064,5789445096,5897218416,5962651744,6071948744,6169136180,6234814644,6312219440,6386873736,6504894144,6634728180,6708563000,6798602676,6923563408,7005017692,7118375232,7253571668,7415383924,7542572696,7650155440,7746699940,7840368544,7908700768,8014507260,8189155428,8443362684,8574500788,8721825028,8799699500,8956910912,8993625964,8987076312,9013946812,9053704388,9136513960,9171116384,9241709268,9294339500,9417825164,9543192012,9681543324,9802499448,9966407576,10104674968,10317922008,10354943016,10515776600,10694990816,10875569568,11199496212,11317998700,11426554136,11581350952,11815076720,11944185892,12042906932,12179506456,12360701516,12711089556,12524053488,12374975440,12045864334,12101558148,12051376766,12118976752,12216034945,12396638008,12527579335,12698199712,13063738367,13173724616,13322869957,13373411060,13651619813,13806328608,13856385531,14303606048,13892597248,14023270648,14130676248,14211327856,14419138756,14603925400,14764309004,14945214840,15064430057,15264645239,15422445980,15544913624
"01000","Alabama",2501956,2601204,2677576,2717084,2577124,2529572,2479012,2494188,2781892,2760128,2831240,2900748,3168728,3262804,3341808,3371320,3390148,3453268,3541740,3604712,3611952,3678384,3684088,3654572,3549856,3506624,3518084,3557676,3817368,3938620,4075916,4166844,4276516,4250724,4280632,4360116,4476036,4557936,4613100,4601844,4619268,4760284,4771552,4882716,4949696,5024844,4997180,5039880,5138300,5236060,5237900,5252008,5296712,5329000,5398108,5527080,5573656,5626468,5660400,5766592,5829608,5914180,6077948,6214984,6330628,6463432,6576876,6713040,6918396,7002964,7144056,7249160,7427224,7527744,7636840,7775256,7831552,7921372,8075148,8233712,8444092,8676316,8871228,9021540,9341940,9624168,9873292,10065448,10250936,10490396,10747608,10931584,11231464,11590412,11830048,12031780,12502704,12719732,13010460,13624652,13865624,14348788,14780784,15336000,15483124,15929780,16458368,16832204,17206464,17679100,18355800,18912488,19636868,19929872,20378736,20968880,21182716,21935380,22583624,23425956,23875416,24908320,25729132,26276176,27108468,27428168,28269708,29163184,29942820,30013188,31048676,32452276,33351008,33601032,34906408,35195716,35470836,35940572,36461776,36918456,37467268,38273380,39184020,40162736,41224124,42187192,43211392,43973764,44977880,45633704,46196524,46961232,47948548,48264804,48949268,49347164,50071924,50689364,51859260,53325052,53518788,54771188,56157584,57104800,59065888,59973844,60583044,61627548,62842984,63852624,64478496,65107352,66311224,67093372,67891588,69352220,71017080,72565552,73650712,74156368,75462564,75805164,76048052,77482064,78430200,80098068,81366928,82826964,84214444,84939532,85814524,86479788,87226376,88867416,89680480,90563512,92422364,93007956,94248404,95610072,98435692,99701760,100856008,102017980,103235744,103260512,104426272,105785916,107661316,109615580,110088524,111599828,113181672,114446052,114486924,114822636,115150932,116612016,117406076,118428172,119855112,120682500,122327188,124328380,127065300,129530632,131543952,133840736,134891864,137064920,138708744,141410560,144486460,146226592,147309288,148622656,151713752,153233576,154328192,155875496,157587185,164265576,159766883,158354496,155927435,157954264,157160977,157523064,159902923,162157424,164562325,165644932,167506582,168292988,169963414,170358612,171841802,173383160,172500410,176680344,173647574,174300552,175990426,175567744,178282625,181037168,183131471,185183804,187235330,188372335,190271274,191548568
"02000","Alaska","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",342541,374381,409685,441157,474129,517333,543869,616905,562391,643395,627951,631375,641169,657841,654721,650613,653495,624039,618107,628619,625617,641741,648433,655097,665079,674171,685195,692431,670151,685051,683235,649735,663613,657125,678201,702969,716175,707403,682663,706707,755020,808596,820844,844408,815808,790412,791680,788140,803312,809656,846940,858296,871924,890264,907940,922060,959784,991004,1021736,1049780,1056656,1078036,1101488,1103296,1113112,1132808,1165420,1204248,1216820,1243020,1271292,1298404,1319096,1347708,1369504,1392796,1482848,1548672,1581688,1648052,1743396,1756632,1802872,1845776,1880440,1941432,2001288,2053976,2063080,2079696,2162592,2288064,2374132,2434104,2530392,2593784,2643192,2876416,3103912,3424404,3757676,3983232,4214648,4513508,4564680,4887036,4996540,4924912,5231248,5133988,4832020,4907716,5145596,5158204,5141664,5257444,5324692,5366880,5516672,5671980,5908020,6039368,6208436,6663976,6663668,6852548,7180396,7532156,7967588,8510232,8881500,9081372,9200080,9244176,9417388,9611380,9849460,9913800,9970920,10111656,10668056,10699880,10832012,10888648,10933748,10903728,10853728,10783528,10458940,10392284,10377992,10492840,10603084,10769260,10946984,11182612,11408600,11902992,12312056,12132168,12339388,12578200,12749744,12933040,13040828,13040056,13255800,13461968,13884900,14003180,14215512,14269560,14726052,14745604,14848580,15030828,15174720,15263108,15373420,15493652,15673368,15667800,15763104,15852828,15942476,16066928,16260388,16396308,16689088,17030172,17147960,17324676,17673368,17729844,17825584,18065980,18210180,18284148,18290980,18794324,19377616,19670640,19960080,20066212,20382336,20868476,20904828,21165204,21490472,21632816,21898456,22279088,22380940,22775976,23044920,23270152,23697272,23911988,24215588,24633140,25089464,25460468,25930100,26286912,26902788,27305688,27415884,27896296,28979240,29502480,29647508,29937196,31731210,32784448,32666118,32805408,31930208,32385652,32299572,32519204,33465699,33954044,34321933,34671864,35554239,36350544,36839101,37366064,37800650,38180128,38191014,38680244,37617996,37572940,37919816,38053372,39115803,39731488,39907469,40415980,41246063,41429288,41231694,41342581
"04000","Arizona",889368,912116,962228,947500,932840,958656,950004,962952,1017260,1021072,1073860,1114300,1234656,1274492,1336248,1390984,1488420,1502620,1502336,1466004,1604028,1546868,1578536,1597676,1634532,1624172,1644944,1655700,1774924,1791072,1807168,1825556,1972628,2005868,2049432,2086592,2184288,2214180,2241404,2240784,2259324,2330600,2369664,2474536,2528224,2597076,2591580,2682512,2759680,2821040,2861672,2891532,2980056,3045904,3145680,3174184,3229796,3327652,3336792,3394512,3445364,3443712,3501988,3582612,3648952,3725200,3772556,3841208,3890688,3932432,3998352,4090320,4204344,4270484,4371144,4501092,4578340,4681228,4764920,4854328,5044784,5330540,5556864,5722624,5969076,6170692,6413256,6686496,6875872,7114140,7251836,7478600,7781648,8119844,8312528,8610072,9016864,9139176,9491556,9969736,10194592,10694704,11078388,11472712,11772896,12118804,12463372,12613428,12651252,12927924,13365204,13702068,14086548,14459060,14846444,15255308,15542316,16180232,16711184,17487020,18185376,18961236,19919164,20687760,21728348,22289932,23342708,24182696,25139556,25803860,26447336,28061992,28643076,29527064,30827248,31477372,31420284,31675784,31850872,32592376,33372544,34458652,35619952,36668348,37925580,39130600,40445300,41295692,42756436,43469488,44462444,45527692,47032988,47790956,48652812,49702416,50634676,51771304,52466164,54032392,54728712,55547816,56912428,57871120,59329604,60047516,60855188,61715592,62227064,63072940,63935840,64296268,65526640,66343112,66577588,67854524,69118960,70711208,71413928,72707800,74682608,75912024,76683844,78444280,80707592,82906704,85030496,86795088,88970748,90062056,92228408,93869672,96322044,98195712,99934200,101342500,104567328,106132172,108307952,110741396,114286616,116760944,119241424,121706288,122187480,124752616,126312152,128868232,133664788,136037008,138293804,140129196,142188112,143383604,144036936,144576164,146947380,148102704,149072052,151405544,152723364,155309944,157525328,161439848,165258852,168864512,172062872,177131492,181517168,187056052,192570932,196286356,205415780,208207964,211677032,215112408,218889612,220857668,222960764,223679096,225014226,231945556,226417742,222916984,215993508,216760860,214823332,216681360,215355859,218043120,220407125,222976996,228280756,229636828,232066528,233697192,236491989,240133720,240215227,247927808,240141850,243123832,244863654,246498116,251456864,253612628,256071836,259230384,262240548,265918534,268165499,270699400
"05000","Arkansas",1454696,1647664,1674840,1667676,1613820,1498924,1480528,1457916,1585200,1607552,1601580,1704644,1813348,1853660,1844984,1882128,1860692,1896532,2016564,1914128,1968836,1926196,1910556,1937732,1920912,1875576,1930836,1930852,1960428,2085868,2124448,2152316,2182896,2150972,2158660,2134104,2183744,2233068,2234824,2253012,2275848,2338212,2273116,2391596,2482708,2507184,2559872,2581296,2490764,2566476,2570612,2603764,2707336,2757224,2735020,2927476,2918888,2963028,2998528,3011948,3081420,3068828,3221388,3225404,3345000,3418720,3432496,3475816,3531112,3531168,3645660,3717900,3933836,3949448,4010816,4132888,4173664,4214620,4282608,4325736,4370108,4548604,4664412,4797660,4992192,5062284,5188340,5275572,5342452,5574320,5750612,5875696,6019404,6164624,6340948,6567176,6679376,6867732,7160800,7621776,7798104,8264388,8517120,8945584,9012920,9173660,9524012,9735428,9842560,10089412,10592568,10744256,11148232,11240064,11408160,11758252,12156132,12407684,12747260,13355620,14066876,14425924,15046444,15192468,15690048,15802844,16215832,16650844,16815640,16678876,17605772,18384420,19069032,19404600,20130720,20024604,20187304,20460964,20695620,21360776,21350048,21798120,22170780,22633344,23694568,24343204,24713436,25148692,25648704,25934140,26155340,26592340,26922516,27159984,27602704,27914080,27876316,28234020,28553580,29240104,29700372,30457812,30991500,31034716,32114960,32534396,32965976,33492144,33834028,34322116,34799080,34994704,35624480,36039652,36607936,37465540,38648512,39623680,40056256,40650336,41095696,41462244,41820396,42511756,43198556,44085992,44612024,45293896,46171528,46692584,47322368,48232348,48716416,50199500,50342880,50792880,51499608,51764172,52579508,53792932,54607704,55338860,55994180,56667972,57423008,57489916,58069556,58848544,59999100,60719572,61593796,62008588,63821832,64361092,64206980,64637700,64727392,65331696,65749676,66529676,68030868,68818048,69776428,70893680,72135024,73199848,74161296,75879668,75816168,77073364,77943364,79708156,81802136,82893884,83529572,84502692,86530180,88031728,88870516,91847088,91616406,95605504,93251694,92456676,92366176,91583976,91114100,91436292,91165023,93113492,94604037,95061564,98361326,98777880,100424342,101603008,104669514,106437868,106515106,110508420,107438029,108087364,108743035,108054196,109978927,111800552,112349861,114175088,114384646,116025628,117468000,118062935
"06000","California",17646874,17992190,18447090,18635666,18390531,18409819,18512039,18701007,20090018,20196086,20854934,21573498,22998099,23815575,24378983,24837375,25915725,26340689,26946045,27503489,28363556,28617876,28668328,28759080,29172219,29248503,29427815,30074087,31377171,32094003,32837779,33313983,34509924,35223280,35723580,36407420,37479227,37961467,38477251,38539407,39052042,39538810,40466894,41352718,42274008,43470092,44316412,45294712,45509980,46179632,46628656,47014780,47952700,48674628,49502528,50460012,51309728,52399300,53457380,54589264,55432632,55847644,56914456,58225056,59670780,60954168,61864344,62678852,63675348,64632128,66047660,67427852,68984456,70526876,71788372,73193516,74720124,75449252,77254844,78502784,80739646,82846854,84921550,86639738,89008864,91411276,93094032,95181576,96730148,98910108,100522880,101599584,102962580,104985072,106743428,109330908,112153923,113983619,117536179,121748531,122865659,126362543,128904951,132413591,136086239,140333027,144780739,148088155,151255251,155323439,159314251,163529191,167857182,172103310,177080994,180929670,184608848,190554172,195503276,203684948,210751276,217563828,223322808,230454540,239270912,245303580,253743324,261790648,271239096,276925888,286625024,300619612,307199788,313679568,325533208,328922064,335183636,338251040,342545492,347366728,357114128,363830500,371422700,382334592,395233048,404330736,415907032,424485932,434129820,438025692,445901564,455328564,464190268,471684868,481092152,488120556,499138764,510249676,516625080,528533472,540582912,552210832,564680188,574790400,590479280,595298008,601255932,617701764,631392640,640863132,647648440,655915516,656139720,661475636,666791000,675600496,687931192,699733568,706644120,711239128,713417440,716739096,717814724,724877252,728905420,738685252,743492372,752907752,767128940,774621296,785172712,791406968,809960204,824767920,833791748,846769816,859715140,872611236,888631784,906656888,939867544,950630868,968037820,985568508,999573196,1014314596,1031457464,1063450540,1102393072,1121493100,1156969144,1158722236,1180089044,1178391460,1170324536,1172886712,1182903652,1191850476,1199137076,1211379192,1216903796,1237980212,1259321104,1274983520,1293514696,1315947152,1331316420,1359012336,1361548748,1384519204,1413039300,1436703060,1484081468,1488324240,1508449296,1526469824,1544510616,1559491272,1568112056,1589258068,1587214983,1631140944,1612030221,1580609056,1541029728,1539677256,1530410792,1537427644,1551912023,1572776860,1582616841,1626481196,1672780568,1683528396,1705454768,1702246280,1766628375,1789528768,1801795365,1891306064,1811129422,1841490972,1861554346,1883847244,1902390836,1926214144,1954980268,1974525376,2011252161,2056578090,2078199347,2099318967
"08000","Colorado",1806977,1844997,1899261,1912641,1883461,1903161,1901157,1901089,2075853,2033989,2074165,2131337,2369053,2456513,2498225,2560977,2607924,2625556,2708104,2723308,2669460,2713996,2700568,2688256,2762992,2756960,2765736,2806740,2925860,2989512,3051816,3107336,3241420,3294860,3356008,3432664,3549556,3626856,3705828,3744968,3686116,3697028,3772024,3820852,3890444,4001632,4017960,4167252,4213068,4278620,4321736,4396932,4526808,4591032,4678768,4738664,4824280,4869016,4905164,4946536,5006924,5069160,5144044,5248928,5345028,5370276,5445888,5491532,5581628,5682072,5882060,5975964,6094508,6165812,6257580,6360392,6523040,6626408,6764552,6914572,7096912,7352592,7545444,7802688,8030280,8257424,8457536,8705228,9050992,9257880,9630100,9851912,10199792,10623976,10760444,11031996,11452720,11710304,12199976,12863192,13028760,13564780,13983780,14521144,14883708,15202352,15673980,15964308,16247440,16784212,17318052,17680396,18140564,18468576,18863408,19371728,19669076,20423508,21158280,22237640,22723228,23632764,24529660,25422144,26269136,26945276,28183200,29162096,30291252,30626020,31929776,33822856,34605940,35451700,37261760,38517480,38923488,39881140,40018056,41114664,41748312,42412224,43366424,44348956,45283456,46476896,47520268,48314020,48778952,49371176,49740972,50350596,51203304,51358084,51676052,51813448,52436800,53072500,53649632,54692140,54916748,56093404,57112756,58176024,60255496,60737780,61688996,62153924,63577768,64534476,65460224,65890272,67042424,68144896,69130408,70527484,72521596,74383280,75693612,76331452,79210116,80220968,81255328,83127364,84251164,86685380,87828308,90121960,92503828,93810852,95801208,97156000,99353760,101545180,103257344,104933256,106607788,108657688,111304272,113638704,118001700,120776732,125233236,125611868,128922268,131286680,132463344,137962944,142425108,146919012,150895844,152273396,156606268,156575316,155401700,155385468,155912628,157054504,157193688,158530712,157715764,159436024,162538512,161786480,164144564,166766552,167964956,172299452,174661676,177515696,181101668,183080272,189583172,190325904,193621232,195116324,197886000,201879752,204160004,208214044,210650152,216931200,215071212,210716028,207726856,206255804,205566796,205992220,207299466,209100008,212246442,217032792,222964147,225558512,229197229,230489000,235095083,238569968,239886273,250070400,241882970,245376748,248142938,250388180,256001919,260039904,263035053,267864912,270599609,274301505,276378394,279149667
"09000","Connecticut",3412264,3454376,3558400,3594540,3426188,3401584,3407460,3424300,3690772,3757232,3920100,4081216,4289600,4428796,4485620,4544520,4686708,4760176,4866652,5087588,5181804,5289036,5295412,5271632,5317420,5311644,5343740,5478816,5572480,5713612,5853092,5976492,6156396,6254084,6342936,6506740,6648528,6721992,6790032,6774788,6417364,6505160,6549216,6639716,6758524,6902564,7055164,7183724,7199672,7267824,7258688,7341340,7456196,7630720,7777680,7908444,8034684,8186460,8286672,8365356,8506244,8598324,8741564,8857548,9065448,9229468,9398456,9579800,9725832,9955340,9992132,10399996,10566128,10846848,11124116,11491664,11754800,11966856,12232756,12300528,12490696,12748340,12910868,13117232,14230404,14535436,14863564,15143160,15334048,15663292,15829708,15887380,16216640,16384052,16611764,16835088,17018224,17487380,18011704,18685420,18934616,19205300,19457188,19866816,20308204,20918072,21415516,21888320,22141676,22471396,22871884,23340668,23696148,24128792,24885648,25297324,25968224,26620376,27266668,28152152,28776996,29647320,30493056,31336244,32463280,33125516,34212720,35373828,36859768,37547744,38809040,40615336,41543228,42537820,44090596,44523104,45271476,46210340,47132608,47852824,48595192,49104304,49923748,51811584,53272144,55131172,57070964,57950416,58759876,59298884,60343140,61401416,61879628,63961272,65280708,67121256,68042840,69644544,71458904,73232600,75461784,76721356,78587440,80647240,82595300,84113824,85361148,86032800,85871504,86999088,87586444,87417912,86498648,87597724,87691184,88610448,91992120,93918492,94749344,96393104,95390704,97232392,98159384,99275024,98810060,99219916,100309196,101931944,103627876,104890360,106237808,107031760,108052208,110115336,111356884,112829052,115268312,116953676,118476116,121078300,123962228,125274376,127318260,128986560,129572616,131316876,133875796,135685324,141152636,142744952,145429936,146701788,149610668,150713268,149397044,150276888,148919200,150447456,150383192,150751480,150239396,152817696,155022064,157772148,159656016,163035548,166700740,169342740,169333776,172041128,174197900,178544460,184964476,186344760,187901976,191598752,198053816,199167200,201023680,202061536,204770443,206731668,205419033,202478680,196592966,197824664,197343978,199025884,200778488,205145596,207028376,208105804,214171002,215220960,215731694,214945216,222017694,224252008,224179010,231565076,222049929,222984316,224266575,224942272,229746166,232600172,233999674,236827808,237056418,240593290,241310999,243116723
"10000","Delaware",509121,515801,534081,542917,571293,568605,571073,573569,638165,651249,682913,706781,699381,720229,724637,735801,747540,760596,777988,807124,821600,837912,834592,826592,856540,850860,858764,879416,955772,983220,1008212,1029660,1115992,1135128,1154504,1180228,1145524,1155252,1163064,1155392,1176072,1178244,1197420,1198044,1223348,1245308,1244492,1249188,1293284,1296968,1313276,1305964,1304376,1341136,1346440,1386340,1384360,1423888,1441388,1458868,1484732,1522088,1538908,1566836,1600168,1624604,1679456,1707052,1771996,1786232,1833536,1870508,1892952,1895884,1905488,1949660,1955580,2022924,2071260,2093260,2152656,2216544,2248872,2263272,2386756,2391096,2473784,2530896,2538348,2599088,2619044,2668428,2760888,2826892,2868140,2953776,2999044,3085760,3169192,3279224,3310100,3425404,3520220,3613768,3592232,3683320,3845664,3901920,3949464,3954164,4082608,4211504,4265588,4383036,4437712,4566056,4542324,4685324,4805116,4964304,5015356,5158644,5286960,5386572,5504196,5619936,5788844,5975332,6193992,6273232,6481204,6767472,6848272,6957356,7203832,7296204,7418852,7557380,7704316,7821736,8045492,8037244,8150512,8420932,8618172,8907520,9111940,9344896,9589176,9729968,9828012,10077140,10051492,10352948,10574904,10744828,10897080,11135320,11378744,11667800,11790360,12105616,12572272,12806364,13334024,13628520,13837952,14067132,14209524,14334804,14524968,14543996,14954016,15109784,15333276,15555400,15635296,15914536,16055468,16105328,16232348,16523892,16605188,16828184,16792472,17125984,17263660,17625600,17825112,18078760,18325904,18660692,18918300,19370956,19668652,20023360,19984940,20052856,20555880,20858032,21639956,21979780,22226664,22540680,22936912,22981868,23215924,23900288,24558872,25017620,25477588,25943392,26498804,26889156,27234052,27573592,27914344,28038592,28267980,28239012,28345764,28736412,29248012,29623392,30051796,30799948,30984456,31996896,31659556,32093732,32468028,34172956,34526724,35085424,35261152,35137232,35687500,36159660,36061684,36354860,36941628,38044864,37471360,37159884,37078423,37107504,37099361,37215384,36580840,37157116,38014236,38621992,38994915,39386720,39846529,39934472,40230670,40970920,40804042,42105232,40826801,41452128,41560955,42033832,42650169,43244596,43674683,43998480,44435174,45091335,45256337,45589843
"11000","District of Columbia",1746744,1768332,1802704,1826908,1823948,1845640,1859408,1878572,1895300,1901132,1971308,2069344,1951464,2033752,2099160,2158696,2108444,2150144,2189668,2222516,2083298,2102986,2110730,2119270,2046480,2051144,2073616,2109264,1991928,2031688,2077296,2113092,2097736,2132212,2164488,2200720,2182508,2219584,2254428,2284040,2209548,2286720,2293504,2345428,2288420,2343324,2348540,2425400,2320800,2369524,2394000,2433204,2461920,2481796,2521512,2543836,2638032,2668640,2705296,2753028,2785944,2825536,2891248,2939584,2976204,3003152,3070244,3088440,3179972,3212904,3316796,3366764,3329808,3333236,3417820,3555432,3521892,3648380,3699560,3721400,3694800,3822860,3854428,3945400,3593576,3664320,3734244,3907200,3954664,3973868,4196352,4393012,4406704,4588972,4683984,4709232,4842892,4952484,4926896,5239940,4870996,5154948,5409248,5570364,5620124,5667512,5710908,5789992,5892664,6143376,6322108,6388000,6344500,6456044,6624100,6776156,6737696,6966308,7112960,7312868,7369672,7454236,7462224,7677528,7764068,7798276,7865800,8192856,8093868,8084328,8374056,8868228,8799492,8863284,9091948,9129916,9322116,9504308,9628148,9815548,9789524,9895852,10032044,10191372,10513648,10746384,11078756,11257396,11436888,11444584,11559380,11751912,11952652,12062412,12195356,12323636,12443504,12611804,12840360,13228432,13442252,13789292,14375088,14561364,14773996,14900128,14994988,15213212,15302692,15454976,15692224,15852424,16010636,16192864,16281036,16604312,16885604,17166304,17349960,17350644,17925604,17873292,17906672,17935768,18050660,18367384,18408568,18452820,18514804,18478472,18363532,18380492,18924688,18959324,19290000,19607584,19876300,20036412,20386376,20537256,21100540,21408540,21747848,21630568,21936236,22123364,22814724,23018300,24458992,24521432,24635592,25285656,26023876,26184860,25855984,25560444,26230216,26370584,26430604,26707644,26706160,27056320,27296016,27707144,28337016,28558832,28937288,29864896,29699504,30426856,30906900,31244948,32341068,32756692,33184192,33498864,34474592,34774244,35437888,35712832,37799251,38845928,38680565,38367172,37221943,37292868,37062481,37244344,37750201,38391296,38738151,39427892,41027198,41646764,42214874,42275840,43340027,43681336,43562161,44619212,44095527,44452272,44602589,44980160,45424936,45883252,46220824,46534428,47263601,47854834,48334723,48827931
