CBSA	Metropolitan_Area_Name	yr	qtr	index_nsa	index_sa	Note
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1991	1	100	100	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1991	2	100.53	99.97	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1991	3	100.77	99.51	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1991	4	99.79	99.19	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1992	1	99.2	99.22	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1992	2	97.77	97.18	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1992	3	97.01	95.81	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1992	4	95.25	94.7	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1993	1	92.46	92.48	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1993	2	90.91	90.32	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1993	3	90.27	89.18	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1993	4	87.67	87.21	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1994	1	86.15	86.16	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1994	2	87.18	86.55	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1994	3	86.91	85.86	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1994	4	86.11	85.72	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1995	1	85.46	85.49	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1995	2	85.72	85.02	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1995	3	85.42	84.38	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1995	4	84.66	84.36	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1996	1	84.44	84.48	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1996	2	84.5	83.72	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1996	3	84.98	83.93	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1996	4	84.77	84.57	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1997	1	85.25	85.29	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1997	2	87.16	86.29	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1997	3	89.01	87.9	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1997	4	90.49	90.35	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1998	1	93.54	93.57	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1998	2	98.93	97.9	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1998	3	103.11	101.8	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1998	4	104.14	104.02	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1999	1	106.46	106.51	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1999	2	110.3	109.13	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1999	3	112.68	111.22	"                                                                                               "
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1999	4	114.23	114.1	"                                                                                               "
