cd	yr	qtr	index_nsa	index_sa	note
DV_ENC	1991	1	100	100	"                                                                                               "
DV_ENC	1991	2	101.28	100.44	"                                                                                               "
DV_ENC	1991	3	102.02	101.19	"                                                                                               "
DV_ENC	1991	4	102.73	102.32	"                                                                                               "
DV_ENC	1992	1	103.85	103.86	"                                                                                               "
DV_ENC	1992	2	105.58	104.7	"                                                                                               "
DV_ENC	1992	3	106.6	105.73	"                                                                                               "
DV_ENC	1992	4	107.44	107.01	"                                                                                               "
DV_ENC	1993	1	107.51	107.55	"                                                                                               "
DV_ENC	1993	2	110.09	109.14	"                                                                                               "
DV_ENC	1993	3	111.64	110.72	"                                                                                               "
DV_ENC	1993	4	112.75	112.32	"                                                                                               "
DV_ENC	1994	1	113.96	114.02	"                                                                                               "
DV_ENC	1994	2	116.47	115.44	"                                                                                               "
DV_ENC	1994	3	117.72	116.75	"                                                                                               "
DV_ENC	1994	4	118.67	118.23	"                                                                                               "
DV_ENC	1995	1	119.84	119.91	"                                                                                               "
DV_ENC	1995	2	122.55	121.43	"                                                                                               "
DV_ENC	1995	3	124.3	123.27	"                                                                                               "
DV_ENC	1995	4	125.32	124.9	"                                                                                               "
DV_ENC	1996	1	126.57	126.62	"                                                                                               "
DV_ENC	1996	2	129.43	128.24	"                                                                                               "
DV_ENC	1996	3	130.53	129.45	"                                                                                               "
DV_ENC	1996	4	131.14	130.69	"                                                                                               "
DV_ENC	1997	1	131.85	131.88	"                                                                                               "
DV_ENC	1997	2	134.54	133.33	"                                                                                               "
DV_ENC	1997	3	135.8	134.69	"                                                                                               "
DV_ENC	1997	4	136.02	135.53	"                                                                                               "
DV_ENC	1998	1	137.02	137.02	"                                                                                               "
DV_ENC	1998	2	139.56	138.35	"                                                                                               "
DV_ENC	1998	3	141.02	139.88	"                                                                                               "
DV_ENC	1998	4	142.53	141.97	"                                                                                               "
DV_ENC	1999	1	143.71	143.7	"                                                                                               "
DV_ENC	1999	2	147	145.8	"                                                                                               "
DV_ENC	1999	3	149.3	148.07	"                                                                                               "
DV_ENC	1999	4	150.65	150	"                                                                                               "
DV_ENC	2000	1	152.37	152.36	"                                                                                               "
DV_ENC	2000	2	155.18	153.99	"                                                                                               "
DV_ENC	2000	3	157.15	155.81	"                                                                                               "
DV_ENC	2000	4	158.45	157.72	"                                                                                               "
DV_ENC	2001	1	159.76	159.8	"                                                                                               "
DV_ENC	2001	2	162.37	161.16	"                                                                                               "
DV_ENC	2001	3	164.32	162.84	"                                                                                               "
DV_ENC	2001	4	165.24	164.45	"                                                                                               "
DV_ENC	2002	1	165.78	165.94	"                                                                                               "
DV_ENC	2002	2	168.75	167.48	"                                                                                               "
DV_ENC	2002	3	170.79	169.15	"                                                                                               "
DV_ENC	2002	4	171.53	170.69	"                                                                                               "
DV_ENC	2003	1	172.44	172.78	"                                                                                               "
DV_ENC	2003	2	175.63	174.22	"                                                                                               "
DV_ENC	2003	3	177.41	175.62	"                                                                                               "
DV_ENC	2003	4	178.56	177.68	"                                                                                               "
DV_ENC	2004	1	178.01	178.56	"                                                                                               "
DV_ENC	2004	2	182.05	180.49	"                                                                                               "
DV_ENC	2004	3	183.93	181.92	"                                                                                               "
DV_ENC	2004	4	184.71	183.85	"                                                                                               "
DV_ENC	2005	1	185.15	185.93	"                                                                                               "
DV_ENC	2005	2	189.04	187.32	"                                                                                               "
DV_ENC	2005	3	190.75	188.41	"                                                                                               "
DV_ENC	2005	4	190.55	189.77	"                                                                                               "
DV_ENC	2006	1	189.37	190.48	"                                                                                               "
DV_ENC	2006	2	192.46	190.63	"                                                                                               "
DV_ENC	2006	3	192.73	189.93	"                                                                                               "
DV_ENC	2006	4	190.02	189.36	"                                                                                               "
DV_ENC	2007	1	187.35	188.89	"                                                                                               "
DV_ENC	2007	2	187.2	185.31	"                                                                                               "
DV_ENC	2007	3	184.19	181.07	"                                                                                               "
DV_ENC	2007	4	177.07	176.4	"                                                                                               "
DV_ENC	2008	1	170.88	172.86	"                                                                                               "
DV_ENC	2008	2	170	168.13	"                                                                                               "
DV_ENC	2008	3	166.66	163.45	"                                                                                               "
DV_ENC	2008	4	156.3	155.57	"                                                                                               "
DV_ENC	2009	1	150.11	152.37	"                                                                                               "
DV_ENC	2009	2	152.46	150.6	"                                                                                               "
DV_ENC	2009	3	153.19	149.94	"                                                                                               "
DV_ENC	2009	4	151.15	150.21	"                                                                                               "
DV_ENC	2010	1	145.75	148.4	"                                                                                               "
DV_ENC	2010	2	150.45	148.4	"                                                                                               "
DV_ENC	2010	3	146.67	143.4	"                                                                                               "
DV_ENC	2010	4	143.72	142.74	"                                                                                               "
DV_ENC	2011	1	137.17	139.97	"                                                                                               "
DV_ENC	2011	2	140.02	137.96	"                                                                                               "
DV_ENC	2011	3	142.44	139.07	"                                                                                               "
DV_ENC	2011	4	139.38	138.47	"                                                                                               "
DV_ENC	2012	1	136.48	139.42	"                                                                                               "
DV_ENC	2012	2	143.47	141.19	"                                                                                               "
DV_ENC	2012	3	145.22	141.67	"                                                                                               "
DV_ENC	2012	4	144.51	143.66	"                                                                                               "
DV_ENC	2013	1	142.76	145.87	"                                                                                               "
DV_ENC	2013	2	151.63	149.13	"                                                                                               "
DV_ENC	2013	3	155.69	151.77	"                                                                                               "
DV_ENC	2013	4	154.27	153.46	"                                                                                               "
DV_ESC	1991	1	100	100	"                                                                                               "
DV_ESC	1991	2	100.73	100.48	"                                                                                               "
DV_ESC	1991	3	100.99	100.61	"                                                                                               "
DV_ESC	1991	4	102.05	101.79	"                                                                                               "
DV_ESC	1992	1	103.27	103.28	"                                                                                               "
DV_ESC	1992	2	103.68	103.42	"                                                                                               "
DV_ESC	1992	3	105.01	104.61	"                                                                                               "
DV_ESC	1992	4	106.1	105.81	"                                                                                               "
DV_ESC	1993	1	106.45	106.5	"                                                                                               "
DV_ESC	1993	2	108.32	108.03	"                                                                                               "
DV_ESC	1993	3	109.72	109.27	"                                                                                               "
DV_ESC	1993	4	110.82	110.53	"                                                                                               "
DV_ESC	1994	1	112.16	112.24	"                                                                                               "
DV_ESC	1994	2	113.99	113.68	"                                                                                               "
DV_ESC	1994	3	115.22	114.7	"                                                                                               "
DV_ESC	1994	4	116.29	115.99	"                                                                                               "
DV_ESC	1995	1	117.76	117.89	"                                                                                               "
DV_ESC	1995	2	119.68	119.35	"                                                                                               "
DV_ESC	1995	3	121.29	120.7	"                                                                                               "
DV_ESC	1995	4	122.45	122.17	"                                                                                               "
DV_ESC	1996	1	122.5	122.64	"                                                                                               "
DV_ESC	1996	2	124.92	124.56	"                                                                                               "
DV_ESC	1996	3	126.43	125.8	"                                                                                               "
DV_ESC	1996	4	127.03	126.75	"                                                                                               "
DV_ESC	1997	1	128.35	128.5	"                                                                                               "
DV_ESC	1997	2	129.21	128.82	"                                                                                               "
DV_ESC	1997	3	131.07	130.41	"                                                                                               "
DV_ESC	1997	4	133.66	133.41	"                                                                                               "
DV_ESC	1998	1	134.47	134.6	"                                                                                               "
DV_ESC	1998	2	137.11	136.65	"                                                                                               "
DV_ESC	1998	3	138.89	138.22	"                                                                                               "
DV_ESC	1998	4	140.2	139.96	"                                                                                               "
DV_ESC	1999	1	141.52	141.68	"                                                                                               "
DV_ESC	1999	2	144.09	143.53	"                                                                                               "
DV_ESC	1999	3	145.53	144.86	"                                                                                               "
DV_ESC	1999	4	146.77	146.54	"                                                                                               "
DV_ESC	2000	1	148.31	148.51	"                                                                                               "
DV_ESC	2000	2	149.95	149.29	"                                                                                               "
DV_ESC	2000	3	151.08	150.42	"                                                                                               "
DV_ESC	2000	4	151.57	151.29	"                                                                                               "
DV_ESC	2001	1	152.26	152.53	"                                                                                               "
DV_ESC	2001	2	154.58	153.85	"                                                                                               "
DV_ESC	2001	3	155.29	154.61	"                                                                                               "
DV_ESC	2001	4	156.08	155.77	"                                                                                               "
DV_ESC	2002	1	156.22	156.55	"                                                                                               "
DV_ESC	2002	2	158.48	157.72	"                                                                                               "
DV_ESC	2002	3	159.53	158.81	"                                                                                               "
