state	yr	qtr	index_nsa	index_sa	note
AK	1991	1	100	100	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1991	2	99.81	99.6	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1991	3	101.55	101	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1991	4	99.94	100.56	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1992	1	101.78	101.76	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1992	2	103.08	102.85	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1992	3	104.48	103.91	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1992	4	104.18	104.88	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1993	1	103.42	103.37	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1993	2	106.55	106.25	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1993	3	107.68	107.15	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1993	4	109.47	110.24	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1994	1	111.56	111.48	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1994	2	112.53	112.14	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1994	3	113.83	113.34	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1994	4	112.57	113.36	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1995	1	115.49	115.42	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1995	2	117.49	117.02	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1995	3	118.81	118.34	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1995	4	118.81	119.58	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1996	1	122.08	122.13	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1996	2	123.2	122.66	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1996	3	121.75	121.24	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1996	4	124.53	125.26	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1997	1	124.38	124.63	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1997	2	125.86	125.21	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1997	3	127.24	126.68	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1997	4	126.81	127.44	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1998	1	128.07	128.58	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1998	2	131.39	130.63	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1998	3	132.5	131.84	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1998	4	134.3	134.86	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1999	1	133.53	134.31	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1999	2	135.97	135.11	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1999	3	137.1	136.36	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1999	4	135.47	135.97	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2000	1	136.72	137.66	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2000	2	141.16	140.27	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2000	3	141.36	140.5	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2000	4	141.6	142.11	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2001	1	144.21	145.25	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2001	2	148.36	147.45	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2001	3	151.86	150.93	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2001	4	152.9	153.43	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2002	1	153.81	154.87	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2002	2	158.91	158.07	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2002	3	161.97	160.91	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2002	4	162.1	162.62	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2003	1	166.69	167.88	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2003	2	168.84	167.99	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2003	3	172.02	170.84	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2003	4	175.39	175.9	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2004	1	178.25	179.66	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2004	2	184.21	183.27	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2004	3	188.75	187.34	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2004	4	192.18	192.61	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2005	1	197.54	199.57	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2005	2	203.84	202.56	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2005	3	211.7	209.95	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2005	4	213.79	214.21	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2006	1	216.17	218.89	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2006	2	224.8	223.14	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2006	3	227.33	225.27	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2006	4	226.96	227.24	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2007	1	227.2	230.73	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2007	2	234.87	232.82	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2007	3	233.62	231.27	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2007	4	229.96	230.29	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2008	1	220.87	224.64	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2008	2	230.98	228.81	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2008	3	232.7	230.2	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2008	4	225.28	225.58	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2009	1	230.34	234.69	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2009	2	227.67	225.24	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2009	3	226.72	224.15	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2009	4	225.82	226.35	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2010	1	221.71	225.98	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2010	2	230.15	227.48	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2010	3	231.21	228.51	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2010	4	226.02	226.77	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2011	1	227.78	232.34	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2011	2	228.15	225.16	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2011	3	229.11	226.35	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2011	4	226.4	227.53	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2012	1	222.09	226.49	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2012	2	235.98	232.66	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2012	3	234.86	232	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2012	4	232.99	234.35	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2013	1	232.9	237.57	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2013	2	243.31	239.72	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2013	3	242.82	239.87	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2013	4	237.09	238.59	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AL	1991	1	100	100	"                                                                                               "
AL	1991	2	101.81	101.55	"                                                                                               "
AL	1991	3	102.61	102	"                                                                                               "
AL	1991	4	103.63	103.15	"                                                                                               "
AL	1992	1	104.59	104.57	"                                                                                               "
AL	1992	2	105.2	104.93	"                                                                                               "
AL	1992	3	106.78	106.15	"                                                                                               "
AL	1992	4	108.58	108.09	"                                                                                               "
AL	1993	1	108.3	108.26	"                                                                                               "
AL	1993	2	110.37	110.08	"                                                                                               "
AL	1993	3	112.28	111.59	"                                                                                               "
AL	1993	4	113.18	112.71	"                                                                                               "
AL	1994	1	114.95	114.91	"                                                                                               "
AL	1994	2	116.57	116.26	"                                                                                               "
AL	1994	3	117.91	117.15	"                                                                                               "
AL	1994	4	119.92	119.48	"                                                                                               "
AL	1995	1	121	120.95	"                                                                                               "
AL	1995	2	122.24	121.91	"                                                                                               "
AL	1995	3	123.05	122.21	"                                                                                               "
AL	1995	4	122.97	122.53	"                                                                                               "
AL	1996	1	123.51	123.5	"                                                                                               "
AL	1996	2	126.56	126.18	"                                                                                               "
AL	1996	3	127.94	127.06	"                                                                                               "
AL	1996	4	129.36	128.9	"                                                                                               "
AL	1997	1	130.58	130.61	"                                                                                               "
AL	1997	2	131.07	130.65	"                                                                                               "
AL	1997	3	133.28	132.38	"                                                                                               "
AL	1997	4	133.53	133.05	"                                                                                               "
AL	1998	1	133.59	133.63	"                                                                                               "
AL	1998	2	135.88	135.39	"                                                                                               "
AL	1998	3	138.01	137.14	"                                                                                               "
AL	1998	4	139.39	138.89	"                                                                                               "
AL	1999	1	139.76	139.81	"                                                                                               "
AL	1999	2	142.47	141.88	"                                                                                               "
AL	1999	3	143.05	142.22	"                                                                                               "
AL	1999	4	145.09	144.57	"                                                                                               "
AL	2000	1	146.8	146.86	"                                                                                               "
AL	2000	2	147.65	146.97	"                                                                                               "
AL	2000	3	149.1	148.29	"                                                                                               "
AL	2000	4	149.45	148.9	"                                                                                               "
AL	2001	1	150.85	150.94	"                                                                                               "
AL	2001	2	152.62	151.89	"                                                                                               "
