,,"All values, costs, and indexes are in current dollars (nominals)",,,,,
"STATE","Date","Home Value","Structure Cost","Land Value","Land Share","Home Price Index","Land Price Index"
"AL","1975Q1",24648,23416,1232,0.05,0.221,0.000
"AL","1975Q2",24970,23721,1248,0.05,0.224,0.000
"AL","1975Q3",25342,24075,1267,0.05,0.227,0.000
"AL","1975Q4",25779,24490,1289,0.05,0.231,0.000
"AL","1976Q1",26343,25026,1317,0.05,0.236,0.000
"AL","1976Q2",26981,25631,1349,0.05,0.242,0.000
"AL","1976Q3",27696,26156,1540,0.0555972981,0.248,0.000
"AL","1976Q4",28492,26674,1818,0.0638073095,0.255,0.000
"AL","1977Q1",29353,27217,2136,0.0727590989,0.263,0.000
"AL","1977Q2",30256,27804,2452,0.0810470953,0.271,0.001
"AL","1977Q3",31160,28398,2762,0.0886287322,0.279,0.001
"AL","1977Q4",32038,28965,3073,0.0959115322,0.287,0.001
"AL","1978Q1",32932,29501,3432,0.1042100888,0.295,0.001
"AL","1978Q2",33887,30014,3874,0.114312861,0.303,0.001
"AL","1978Q3",34903,30555,4348,0.124561881,0.312,0.001
"AL","1978Q4",35877,31171,4707,0.1311849154,0.321,0.001
"AL","1979Q1",36794,31897,4898,0.1331107535,0.329,0.001
"AL","1979Q2",37622,32710,4912,0.1305537061,0.337,0.001
"AL","1979Q3",38364,33571,4793,0.1249266938,0.343,0.001
"AL","1979Q4",39021,34444,4577,0.1172972755,0.349,0.001
"AL","1980Q1",39571,35251,4320,0.1091739315,0.354,0.001
"AL","1980Q2",40193,36022,4171,0.103767542,0.360,0.001
"AL","1980Q3",40879,36743,4136,0.1011710547,0.366,0.001
"AL","1980Q4",41487,37401,4086,0.0984962565,0.371,0.001
"AL","1981Q1",42014,38023,3990,0.094979504,0.376,0.001
"AL","1981Q2",42480,38610,3870,0.0911017809,0.380,0.001
"AL","1981Q3",42853,39212,3641,0.0849631498,0.384,0.001
"AL","1981Q4",43112,39874,3238,0.0751056703,0.386,0.001
"AL","1982Q1",43381,40603,2778,0.0640292214,0.388,0.001
"AL","1982Q2",43764,41369,2395,0.0547210466,0.392,0.001
"AL","1982Q3",44318,42102,2216,0.05,0.397,0.001
"AL","1982Q4",45043,42791,2252,0.05,0.403,0.001
"AL","1983Q1",45803,43512,2290,0.05,0.410,0.001
"AL","1983Q2",46540,44213,2327,0.05,0.417,0.001
"AL","1983Q3",47302,44937,2365,0.05,0.423,0.001
"AL","1983Q4",48088,45684,2404,0.05,0.430,0.001
"AL","1984Q1",48919,46473,2446,0.05,0.438,0.002
"AL","1984Q2",49676,47192,2484,0.05,0.445,0.002
"AL","1984Q3",50368,47850,2518,0.05,0.451,0.002
"AL","1984Q4",50986,48436,2549,0.05,0.456,0.003
"AL","1985Q1",51646,49064,2582,0.05,0.462,0.003
"AL","1985Q2",52429,49808,2621,0.05,0.469,0.004
"AL","1985Q3",53321,50655,2666,0.05,0.477,0.005
"AL","1985Q4",54280,51566,2714,0.05,0.486,0.006
"AL","1986Q1",55295,52530,2765,0.05,0.495,0.007
"AL","1986Q2",56356,53538,2818,0.05,0.504,0.009
"AL","1986Q3",57427,54556,2871,0.05,0.514,0.011
"AL","1986Q4",58462,55539,2923,0.05,0.523,0.015
"AL","1987Q1",59414,56444,2971,0.05,0.532,0.018
"AL","1987Q2",60255,57242,3013,0.05,0.539,0.021
"AL","1987Q3",60986,57937,3049,0.05,0.546,0.025
"AL","1987Q4",61646,58563,3082,0.05,0.552,0.028
"AL","1988Q1",62281,59167,3114,0.05,0.558,0.031
"AL","1988Q2",62843,59700,3142,0.05,0.563,0.034
"AL","1988Q3",63331,60164,3167,0.05,0.567,0.036
"AL","1988Q4",63805,60615,3190,0.05,0.571,0.037
"AL","1989Q1",64346,61129,3217,0.05,0.576,0.040
"AL","1989Q2",64975,61726,3249,0.05,0.582,0.043
"AL","1989Q3",65656,62373,3283,0.05,0.588,0.048
"AL","1989Q4",66319,63003,3316,0.05,0.594,0.053
"AL","1990Q1",66945,63597,3347,0.05,0.599,0.059
"AL","1990Q2",67566,64188,3378,0.05,0.605,0.065
"AL","1990Q3",68128,64722,3406,0.05,0.610,0.072
