"zcta5","county","pop10","afact"
"01001","25013",16769,1 
"01002","25011",281,0.01 
"01002","25015",28768,0.99 
"01003","25015",10372,1 
"01005","25027",5079,1 
"01007","25015",14649,1 
"01008","25013",1263,1 
"01009","25013",741,1 
"01010","25013",3609,1 
"01011","25013",1183,0.864 
"01011","25015",187,0.136 
"01012","25015",661,1 
"01013","25013",23188,1 
"01020","25013",29668,1 
"01022","25013",2451,1 
"01026","25015",946,1 
"01027","25015",17660,1 
"01028","25013",15720,1 
"01029","25003",789,1 
"01030","25013",11669,1 
"01031","25027",1308,1 
"01032","25015",570,1 
"01033","25015",6227,1 
"01034","25013",2021,1 
"01035","25015",5250,1 
"01036","25013",5109,1 
"01037","25027",838,1 
"01038","25015",2545,1 
"01039","25011",202,0.151 
"01039","25015",1134,0.849 
"01040","25013",39880,1 
"01050","25013",350,0.138 
"01050","25015",2180,0.862 
"01053","25015",1685,1 
"01054","25011",1851,1 
"01056","25013",21103,1 
"01057","25013",8534,1 
"01060","25015",15284,1 
"01062","25015",11150,1 
"01063","25015",430,1 
"01066","25015",64,1 
"01068","25027",1902,1 
"01069","25013",8469,1 
"01070","25015",629,1 
"01071","25013",1596,1 
"01072","25011",1478,1 
"01073","25015",5792,1 
"01074","25027",319,1 
"01075","25015",17527,1 
"01077","25013",9502,1 
"01079","25013",692,1 
"01080","25013",2334,1 
"01081","25013",1698,1 
"01082","25015",9872,0.956 
"01082","25027",450,0.044 
"01083","25027",2888,1 
"01084","25015",176,1 
"01085","25013",41117,1 
"01086","25013",687,1 
"01088","25015",670,1 
"01089","25013",28391,1 
"01092","25027",1394,1 
"01093","25011",325,1 
"01094","25027",351,1 
"01095","25013",14319,1 
"01096","25015",2217,1 
"01097","25013",111,1 
"01098","25015",1101,1 
"01103","25013",2479,1 
"01104","25013",22865,1 
"01105","25013",12350,1 
"01106","25013",16021,1 
"01107","25013",11611,1 
"01108","25013",26688,1 
"01109","25013",30250,1 
"01118","25013",14071,1 
"01119","25013",14152,1 
"01128","25013",2631,1 
"01129","25013",7019,1 
"01151","25013",8698,1 
"01201","25003",46504,1 
"01220","25003",8603,1 
"01222","25003",829,1 
"01223","25003",2314,1 
"01224","25003",182,1 
"01225","25003",3117,1 
"01226","25003",6945,1 
"01229","25003",95,1 
"01230","25003",8430,1 
"01235","25003",2766,1 
"01236","25003",1509,1 
"01237","25003",2496,1 
"01238","25003",6047,1 
"01240","25003",4534,1 
"01242","25003",476,1 
"01243","25015",334,1 
"01244","25003",151,1 
"01245","25003",985,1 
"01247","25003",16087,1 
"01253","25003",731,1 
"01254","25003",972,1 
"01255","25003",915,1 
"01256","25003",692,1 
"01257","25003",2121,1 
"01258","25003",374,1 
"01259","25003",635,1 
"01260","25003",240,1 
"01262","25003",1238,1 
"01264","25003",137,1 
"01266","25003",1463,1 
"01267","25003",7989,1 
"01270","25003",778,1 
"01301","25011",17700,1 
"01330","25011",1506,1 
"01331","25027",13263,1 
"01337","25011",2596,1 
"01338","25011",187,1 
"01339","25011",1438,1 
"01340","25011",1701,1 
"01341","25011",1833,1 
"01342","25011",1492,1 
"01343","25003",75,1 
"01344","25011",1498,1 
"01346","25011",533,1 
"01347","25011",166,1 
"01349","25011",1091,1 
"01350","25011",121,1 
"01351","25011",2270,1 
"01354","25011",1500,1 
"01355","25011",878,1 
"01360","25011",3032,1 
"01364","25011",7969,1 
"01366","25027",1277,1 
"01367","25011",522,1 
"01368","25027",1261,1 
"01370","25011",4084,1 
"01373","25011",4600,1 
"01375","25011",3684,1 
"01376","25011",5247,1 
"01378","25011",774,1 
"01379","25011",813,1 
"01420","25027",40337,1 
"01430","25027",6089,1 
"01431","25017",3074,1 
"01432","25017",7089,1 
"01434","25017",338,0.188 
"01434","25027",1457,0.812 
"01436","25027",3336,1 
"01438","25027",559,1 
"01440","25027",20347,1 
"01450","25017",10646,1 
"01451","25027",4747,1 
"01452","25027",4382,1 
"01453","25027",40883,1 
"01460","25017",8924,1 
"01462","25027",10086,1 
"01463","25017",11497,1 
"01464","25017",7211,1 
"01467","25027",316,1 
"01468","25027",4021,1 
"01469","25017",6801,1 
"01473","25027",7277,1 
"01474","25017",2125,1 
"01475","25027",10270,1 
"01501","25027",16075,1 
"01503","25027",2866,1 
"01504","25027",9026,1 
"01505","25027",4355,1 
"01506","25027",3390,1 
"01507","25027",12981,1 
"01510","25027",13606,1 
"01515","25027",2183,1 
"01516","25027",8500,1 
"01518","25027",2974,1 
"01519","25027",6595,1 
"01520","25027",13997,1 
"01521","25013",2481,1 
"01522","25027",3310,1 
"01523","25027",7582,1 
"01524","25027",6696,1 
"01525","25027",290,1 
"01527","25027",13246,1 
"01529","25027",3190,1 
"01531","25027",999,1 
"01532","25027",14155,1 
"01534","25027",5631,1 
"01535","25027",4680,1 
"01536","25027",6888,1 
"01537","25027",2248,1 
"01540","25027",11291,1 
"01541","25027",3413,1 
"01542","25027",2202,1 
"01543","25027",7973,1 
"01545","25027",35299,1 
"01550","25027",16719,1 
"01560","25027",4527,1 
"01561","25027",330,1 
"01562","25027",11688,1 
"01564","25027",7808,1 
"01566","25027",6294,1 
"01568","25027",7480,1 
"01569","25027",13569,1 
"01570","25027",16767,1 
"01571","25027",11390,1 
"01581","25027",18272,1 
"01583","25027",7591,1 
"01585","25027",4554,1 
"01588","25027",9733,1 
"01590","25027",8875,1 
"01602","25027",22819,1 
"01603","25027",19916,1 
"01604","25027",34677,1 
"01605","25027",26221,1 
"01606","25027",19077,1 
"01607","25027",8351,1 
"01608","25027",3888,1 
"01609","25027",22421,1 
"01610","25027",23945,1 
"01611","25027",2242,1 
"01612","25027",4845,1 
"01701","25017",31217,1 
"01702","25017",37206,1 
"01718","25017",469,1 
"01719","25017",4996,1 
"01720","25017",21361,1 
"01721","25017",16593,1 
"01730","25017",13221,1 
"01731","25017",1396,1 
"01740","25027",4897,1 
"01741","25017",4852,1 
"01742","25017",17726,1 
"01745","25027",397,1 
"01746","25017",13547,1 
"01747","25027",5911,1 
"01748","25017",14925,1 
"01749","25017",19063,1 
"01752","25017",38499,1 
"01754","25017",10106,1 
"01756","25027",5839,1 
"01757","25027",28061,1 
"01760","25017",32786,1 
"01770","25017",4119,1 
"01772","25027",9370,1 
"01773","25017",5112,1 
"01775","25017",6590,1 
"01776","25017",17659,1 
"01778","25017",13109,1 
"01801","25017",38903,1 
"01803","25017",24487,1 
"01810","25009",33201,1 
"01821","25017",30310,1 
"01824","25017",24911,1 
"01826","25017",29422,1 
"01827","25017",3179,1 
"01830","25009",25137,1 
"01832","25009",22060,1 
"01833","25009",8183,1 
"01834","25009",6459,1 
"01835","25009",13682,1 
"01840","25009",4733,1 
"01841","25009",47225,1 
"01843","25009",24425,1 
"01844","25009",47249,1 
"01845","25009",28352,1 
"01850","25017",15237,1 
"01851","25017",30190,1 
"01852","25017",33508,1 
"01854","25017",27606,1 
"01860","25009",6338,1 
"01862","25017",10227,1 
"01863","25017",8891,1 
"01864","25017",14892,1 
"01867","25017",23956,1 
"01876","25017",28667,1 
"01879","25017",11305,1 
"01880","25017",24733,1 
"01886","25017",21951,1 
"01887","25017",22325,1 
"01890","25017",21382,1 
"01901","25009",1689,1 
"01902","25009",45139,1 
"01904","25009",18203,1 
"01905","25009",25251,1 
"01906","25009",26660,1 
"01907","25009",14027,1 
"01908","25009",3410,1 
"01913","25009",16283,1 
"01915","25009",39502,1 
"01921","25009",7961,1 
"01922","25009",3108,1 
"01923","25009",26342,1 
"01929","25009",3504,1 
"01930","25009",28789,1 
"01937","25009",151,1 
"01938","25009",13175,1 
"01940","25009",11909,0.984 
"01940","25017",199,0.016 
"01944","25009",5136,1 
"01945","25009",19808,1 
"01949","25009",8987,1 
"01950","25009",17416,1 
"01951","25009",3558,1 
"01952","25009",8283,1 
"01960","25009",50944,1 
"01966","25009",6952,1 
"01969","25009",5856,1 
"01970","25009",41109,1 
"01982","25009",7764,1 
"01983","25009",6089,1 
"01984","25009",4875,1 
"01985","25009",4235,1 
"02019","25021",16332,1 
"02021","25021",21561,1 
"02025","25021",7542,1 
"02026","25021",24711,1 
"02030","25021",5589,1 
"02032","25021",4226,1 
"02035","25021",16865,1 
"02038","25021",31635,1 
"02043","25023",22157,1 
"02045","25023",10293,1 
"02047","25023",180,1 
"02048","25005",23184,1 
"02050","25023",25429,1 
"02052","25021",12024,1 
"02053","25021",12752,1 
"02054","25021",7891,1 
"02056","25021",10981,1 
"02061","25023",10506,1 
"02062","25021",28602,1 
"02066","25023",17656,1 
"02067","25021",17486,1 
"02071","25021",1707,1 
"02072","25021",26999,1 
"02081","25021",18472,1 
"02090","25021",14636,1 
"02093","25021",10955,1 
"02108","25025",3825,1 
"02109","25025",3771,1 
"02110","25025",1733,1 
"02111","25025",7383,1 
"02113","25025",6915,1 
"02114","25025",11999,1 
"02115","25025",28441,1 
"02116","25025",20628,1 
"02118","25025",26498,1 
"02119","25025",25346,1 
"02120","25025",15181,1 
"02121","25025",25978,1 
"02122","25025",23479,1 
"02124","25025",47783,1 
"02125","25025",33295,1 
"02126","25025",25562,1 
"02127","25025",31799,1 
"02128","25025",40508,1 
"02129","25025",16439,1 
"02130","25025",35401,1 
"02131","25025",29826,1 
"02132","25025",25861,1 
"02134","25025",21503,1 
"02135","25025",42780,1 
"02136","25025",28488,1 
"02138","25017",36314,1 
"02139","25017",36349,1 
"02140","25017",17607,1 
"02141","25017",11910,1 
"02142","25017",3141,1 
"02143","25017",24514,1 
"02144","25017",23891,1 
"02145","25017",25439,1 
"02148","25017",59503,1 
"02149","25017",41550,1 
"02150","25025",35124,1 
"02151","25025",51808,1 
"02152","25025",17497,1 
"02155","25017",57964,1 
"02163","25025",2582,1 
"02169","25021",55055,1 
"02170","25021",19505,1 
"02171","25021",17711,1 
"02176","25017",26983,1 
"02180","25017",21437,1 
"02184","25021",35744,1 
"02186","25021",27003,1 
"02188","25021",14608,1 
"02189","25021",14559,1 
"02190","25021",16119,1 
"02191","25021",8457,1 
"02199","25025",1146,1 
"02210","25025",2090,1 
"02215","25021",1,0 
"02215","25025",26124,1 
"02301","25023",61025,1 
"02302","25023",32741,1 
"02322","25021",4356,1 
"02324","25023",26563,1 
"02330","25023",11509,1 
"02332","25023",15059,1 
"02333","25023",13794,1 
"02338","25023",7518,1 
"02339","25023",13879,1 
"02341","25023",10218,1 
"02343","25021",10745,1 
"02346","25023",23106,1 
"02347","25023",10612,1 
"02351","25023",16029,1 
"02356","25005",12564,1 
"02357","25005",1360,1 
"02359","25023",17828,1 
"02360","25023",56271,1 
"02364","25023",12629,1 
"02366","25023",197,1 
"02367","25023",2820,1 
"02368","25021",32158,1 
"02370","25023",17489,1 
"02375","25005",9188,1 
"02379","25023",6916,1 
"02382","25023",14489,1 
"02420","25017",14052,1 
"02421","25017",17342,1 
"02445","25021",20679,1 
"02446","25021",29311,1 
"02451","25017",17426,1 
"02452","25017",14238,1 
"02453","25017",28968,1 
"02457","25021",1432,1 
"02458","25017",12131,1 
"02459","25017",19095,1 
"02460","25017",8742,1 
"02461","25017",7059,1 
"02462","25017",1554,1 
"02464","25017",2953,1 
"02465","25017",11710,1 
"02466","25017",8096,1 
"02467","25017",8523,0.379 
"02467","25021",8741,0.389 
"02467","25025",5227,0.232 
"02468","25017",5273,1 
"02472","25017",32014,1 
"02474","25017",26312,1 
"02476","25017",16532,1 
"02478","25017",24664,1 
"02481","25021",16244,1 
"02482","25021",10306,1 
"02492","25021",19931,1 
"02493","25017",11261,1 
"02494","25021",8955,1 
"02532","25001",10723,0.845 
"02532","25023",1967,0.155 
"02534","25001",842,1 
"02535","25007",1177,1 
"02536","25001",19583,1 
"02537","25001",6293,1 
"02538","25023",3603,1 
"02539","25007",4067,1 
