"RegionName","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04"
"California",155400,155800,156600,157600,158800,160200,162300,164000,164300,164800,166500,168300,169500,170500,171700,172900,174200,175300,177200,179100,180000,180800,183000,185100,186600,188200,189800,191500,193200,195400,198700,202500,205100,207200,210000,212800,215200,217900,221200,224900,228300,231700,235400,238900,240900,242200,243900,245500,246900,248700,250700,252400,254100,256000,258700,262100,265700,270000,275400,280700,285800,290500,294900,299400,304200,308400,312300,315900,319500,323000,326300,329800,335200,342400,349800,356800,363900,371600,379200,386900,395800,406900,418300,429000,437600,443800,449100,455200,461600,467800,473600,479700,486300,493000,499200,504800,510400,517000,524300,530500,534800,537700,538800,538200,537200,535300,532900,530000,527100,524100,521200,518500,516200,515200,515700,514900,512500,509100,503700,497200,492200,485700,476100,465700,457000,448000,438900,429800,421100,412100,403600,395200,386000,376300,367300,357700,348200,339900,334000,330500,326800,323300,322400,323100,323400,324600,326300,329000,331400,332300,332100,332000,330900,329400,328400,327200,325300,323800,322200,320900,319600,318000,315700,313000,309900,307200,305300,303500,302100,300300,298800,298100,297800,297200,296900,296400,296500,298000,300200,302500,304400,307200,311400,316400,320700,325800,331200,337800,346000,353900
"New York",,115900,118500,119800,121400,122300,122500,122200,123100,123800,122700,122300,123800,125000,125900,127000,128000,130000,131500,131700,132100,131900,130200,129900,131700,133500,134400,135600,137100,138400,139400,141100,143000,142800,141400,141800,144100,145800,146900,148800,151400,153700,154800,155700,157600,158600,157700,157100,158600,161100,162800,164900,167900,171100,170700,168800,171600,177100,180400,183600,187200,188700,191500,193600,193700,193100,194800,198700,198800,197900,201000,204400,206000,209200,211600,212800,213200,216400,223700,229200,231400,234300,237300,240400,243600,246900,248800,249900,253200,258300,263200,266000,268500,271000,274100,277500,280800,283200,287700,293200,296800,298300,299700,301300,303200,304100,304100,304300,305000,305100,304300,304300,304900,305200,304200,304300,305000,305400,305200,304000,302200,301400,301300,301000,300400,298700,295400,292200,290600,289300,287300,285200,284000,282200,279600,277100,275800,273300,269500,267300,267100,266500,265500,264800,264100,263600,263100,262900,262600,261700,260600,260600,260400,260000,259600,257600,254300,252400,251600,251100,250300,249400,248700,247600,246000,244900,243800,242800,242400,241600,240500,239000,237600,236900,236500,235600,235000,234600,234300,235000,235200,234700,234300,235200,236000,236600,236900,237100,237400,237900
"Florida",80100,80800,81400,81700,82000,82400,83100,83400,83400,83600,84000,84200,84400,84900,85400,85900,86400,87000,87400,87700,88000,88200,88600,89200,89900,90500,90900,91300,92100,92800,93500,94200,94900,95400,95900,96600,97400,98200,99200,100300,101200,102200,103300,104300,105300,106300,107200,108200,109500,111000,112300,113500,114600,115600,116800,118100,119200,120600,122200,123600,125000,126400,127700,129100,130700,132000,133300,134800,136100,137300,138500,139800,141200,142900,144600,146500,148400,150600,153100,155200,157500,160100,163000,166100,169400,172800,175800,179100,182800,187700,192700,197700,203000,208700,214000,219600,225300,231000,236500,240900,244600,248800,252600,255100,256300,256900,256600,255900,254400,252900,251700,250400,248500,246700,245400,243000,239200,236000,233100,229300,225900,222600,218400,213900,210400,204700,198300,194300,192100,188200,185300,183200,180400,176600,173300,168900,164100,159800,156300,153200,150200,147700,145900,144500,143100,141900,140900,141000,141100,140300,138900,137800,137200,137000,136200,135000,133300,131700,130600,129900,129400,128500,127500,126400,125700,125400,124800,123800,123300,122900,122400,122400,122800,123100,123100,123200,123900,124500,124900,125600,126200,126800,127500,128400,129300,130500,132000,133600,135200,136500
"Illinois",,108800,109700,108500,108200,110400,111500,111800,112700,114600,116300,117300,118600,120400,119900,117800,117100,119000,120600,121200,121500,122500,123500,124600,126100,127700,127200,125700,125800,127500,128200,128600,129500,130900,132100,133500,134800,135800,135500,134800,134900,136500,137500,138000,138800,140600,141900,143000,144600,146400,146800,146600,147100,147700,148200,149100,150200,151100,152100,153300,154700,156000,157200,158400,159300,160000,161300,163100,164500,165400,167800,170000,170700,171300,172900,173700,174800,175900,176000,176200,177200,178500,178900,179600,180900,182100,182800,183700,184900,186600,188700,189900,190600,191800,193300,194700,196400,198500,200100,201400,202800,204600,206500,207900,208500,209200,209500,209700,210700,212500,213500,213700,213800,214900,216300,216700,216200,215700,215000,214000,213800,214000,213100,211800,211400,210800,208700,208900,209400,207700,205700,204900,200900,195400,194000,195500,194200,190000,187300,185600,183900,182400,181000,179400,178300,177600,176600,175500,174900,174000,172900,171600,170200,169300,169200,168300,166900,165300,163600,161500,159500,158000,156600,154700,153500,152600,151100,150000,150100,149400,147700,146100,144700,143300,141800,141100,141800,142700,142500,142500,142400,142600,142500,142000,141600,142400,142800,142400,141800,141700
"Pennsylvania",,,,,,,,79300,79600,80000,80800,80900,80300,80100,81300,82900,84100,84800,85400,85700,85500,85500,85600,85900,86000,86100,85800,85900,86800,87600,88300,89000,89800,90800,91400,90800,90100,90300,90400,90500,90600,90500,90400,90800,91500,92100,92800,93600,94100,94600,95000,95200,95400,96300,97300,98300,99100,99800,100400,100900,101700,102200,102700,103400,104500,105400,106400,107000,107500,108300,109300,110200,111200,112500,113700,114700,115600,116400,117500,118300,118800,119400,120300,121400,122600,123800,125400,127000,128100,129400,131000,132200,132700,133500,134500,135300,136500,138000,139200,140100,141100,142100,143000,144100,145300,146300,147100,147800,148100,148400,148600,148600,148500,149000,149900,150700,151200,151700,152100,152400,152400,152500,152700,152900,153000,152700,151100,150100,150400,150700,150500,150500,150100,149200,148200,147400,146600,146100,146600,147800,148800,149200,149300,149600,150200,150600,150500,150900,151600,151100,149800,149400,149900,150300,150700,150100,148700,147400,146700,146100,146000,146000,145700,144700,144000,143900,144000,143400,143000,142600,142100,141700,141500,141100,141100,141200,141200,141100,141200,141600,141500,141600,142000,142300,142300,142900,143200,143500,143800,144200
"Ohio",85700,86000,86300,86500,86900,87200,87400,87800,88200,88500,88600,88500,88800,89300,89700,90200,90800,91300,91600,91900,92000,92500,93100,93700,94000,94500,95000,95300,95600,96200,96700,97200,97800,98300,98500,98900,99500,100000,100400,101000,101700,102200,102400,102700,103200,103800,104300,104600,104800,105300,105600,105900,106300,106800,107100,107500,107700,107900,108200,108800,109200,109600,110100,110600,110900,111500,112100,112500,112800,113400,114000,114300,115000,115800,116100,116300,116400,116700,117300,117900,118000,118100,118300,118900,119100,119300,119700,120300,120800,121400,122000,122100,122100,122200,122200,122400,122900,123300,123500,124000,124400,124700,124800,124800,124600,124600,124100,123700,123600,123700,123500,123500,123700,124300,124600,124200,123600,123100,122500,121800,121600,121500,121100,120700,120900,120200,119200,118400,117700,116800,116800,116900,116600,116100,115300,114000,112300,110800,110000,109900,109900,110100,110600,111300,111300,111100,111000,111300,111400,110400,109200,109300,110000,110300,110400,109300,107600,106900,106300,105000,104300,103700,103000,102700,103000,103100,102900,102900,102800,102200,101300,100900,100600,100200,99900,100400,101400,102100,102200,102500,102300,102000,102700,103600,103700,104500,105400,105400,105200,105300
"Michigan",,84900,85900,85800,86500,87600,88800,89900,90500,90700,91400,92300,92900,93800,95100,96200,96900,97400,97500,97400,98100,99500,100700,101300,101000,100900,101500,102200,102700,102700,102500,103200,104900,105800,105800,106400,107700,108300,108900,109700,110500,111600,112700,113200,113700,114400,115400,115700,115700,116500,117200,117500,118200,119200,119700,120000,120300,120600,120300,120800,122500,123800,124100,124200,124300,123800,123700,124500,125400,126400,127700,128700,129100,129200,129600,130100,130900,131600,132400,133200,133300,133100,133500,134000,133800,133900,134700,135600,136500,137400,138100,138400,138900,139900,140400,140000,139700,139800,140200,141000,141600,141700,141300,140500,139900,139900,139600,138900,138400,138000,137300,136800,136400,135900,135700,135700,135200,133600,132000,131000,130800,130300,128900,126900,125900,125100,123500,121700,120400,118500,116600,115600,114800,113600,112100,110100,107100,104500,103700,103500,102600,101700,101600,102100,102100,101400,100300,100100,100500,100100,98600,97400,97400,97600,97400,96500,95400,94500,94100,93600,93300,93100,92700,92100,91600,91300,91100,90900,90500,90200,90200,90200,90100,90400,90600,90500,90900,91600,92300,93300,93900,93900,94700,95900,96000,96000,96900,98000,98700,99400
"Georgia",,86100,86900,87300,87900,88200,88400,88700,89100,89300,89700,90400,91100,91700,92300,93000,93500,94100,94800,95300,95900,96600,97500,98600,99700,100500,101400,102100,102700,103500,104200,104800,105400,106100,107000,108000,109400,110800,111600,112300,113500,114500,114900,115300,116000,116700,117000,117400,117900,118400,118900,119600,120500,121100,121500,122200,122700,123100,123700,124200,124400,125000,125700,126400,127000,127500,128000,128300,128500,128800,129400,130000,130400,130900,131600,132100,132500,132900,133500,134000,134500,135100,135700,136500,137300,137700,138100,139000,140000,140900,142100,142800,143200,143400,143700,144200,145100,146300,147100,147700,148600,150100,151800,153000,153500,153800,153900,154000,154400,154800,155100,155600,156000,155200,154800,155900,156900,156800,156400,156000,155700,155500,154600,153900,153600,153400,151600,149800,149100,148600,147200,146200,144900,143000,141900,140500,137700,134700,133300,132800,132200,131400,131800,132200,132000,132100,132300,132100,131500,130600,129700,128800,127900,127800,127900,127200,125500,123400,122100,121400,120600,119700,118600,116500,114500,113500,112600,111000,110900,111700,111100,109300,108700,108400,107400,107200,108200,109000,109100,109600,108900,107700,107600,108300,108900,110200,111300,111600,111800,112200
"North Carolina",,,,,,,,84800,85700,86100,86600,87300,88000,88400,88700,89200,90000,90700,91600,92500,93200,93600,93900,94100,94600,95000,95600,96100,96700,97200,98000,98600,99300,99800,100300,100800,101300,101800,102100,102500,103200,103500,103900,104500,104800,104900,105300,105600,105800,105900,105900,106100,106500,107000,107600,108100,108300,108400,108700,109200,109600,110000,110400,110700,111100,111900,112500,112800,113200,113800,114200,115000,115700,116000,116400,117200,117900,118200,118400,118800,119300,120200,120900,121300,121800,122300,122900,123700,124300,125300,126500,127300,127800,128500,129100,129600,130600,132100,133400,134100,134700,135900,137100,138000,138300,138400,139200,140100,141100,142000,143000,143600,144100,144200,144800,145700,146700,147100,147100,147400,147800,148100,148100,148100,148400,148800,148600,147900,147700,147800,147700,147400,147300,146900,146100,145100,144200,143100,142600,142900,143100,142900,143100,143300,142700,142000,141800,142300,142100,141000,139900,139600,139700,139900,139600,138400,137300,136700,136200,135700,135600,135300,134300,133600,133400,133500,133700,134000,133800,133600,133200,132400,131900,131700,131400,131200,131800,132200,132600,133000,132800,132100,131800,132400,132800,133200,133400,133500,133300,133100
"New Jersey",136700,137200,137300,137000,137400,138200,138900,139500,140600,141500,141300,141500,142400,143000,143400,143400,143600,144800,146800,148000,148500,148900,150000,151800,153200,154200,155100,155900,157000,158800,160300,161500,162700,163600,164800,166200,167300,168700,171200,172900,173500,174900,176900,179400,181700,183700,185100,186800,188900,191200,193300,194700,195500,197000,199800,202700,204600,207500,211500,214900,218200,221700,225600,229800,233900,237300,240200,242500,245200,247900,250100,252500,255900,259400,262300,265000,267700,270500,273200,276100,279600,284200,288500,292700,296200,299400,302500,305500,309400,314300,318800,323100,327200,331300,335600,339400,342200,345800,350100,354800,358700,360100,360700,363300,366400,367700,367800,366900,365500,363900,362400,360600,358500,356900,356800,357700,357900,357300,355900,354400,353100,350900,348200,346200,344600,344200,342800,339600,336700,334400,331200,328300,326300,324200,321600,318800,315300,311200,308600,307600,304900,301300,298900,297800,297700,298500,298800,299100,299700,298900,297400,296200,294900,293100,292200,291200,289700,287500,285200,283100,281900,280500,278400,274900,271900,270200,269300,268400,267900,266600,264500,262100,260000,258200,256700,255800,256500,256900,256600,256800,256600,256200,257300,258500,258900,259900,260300,259500,258600,257900
